Rank,Release Group,Worldwide,Domestic,%,Foreign
84,SSSS.Gridman,"$4,636,916",-,100%,"$4,636,916"
85,Detective Conan: Episode of Ai Haibara ~ Black Iron Mystery Train,"$4,632,353",-,100%,"$4,632,353"
86,Sage homme,"$4,613,332",-,100%,"$4,613,332"
87,Sisu,"$4,523,430","$4,296,994",5%,"$226,436"
88,Life for Real,"$4,520,081",-,100%,"$4,520,081"
89,IM HERO THE FINAL,"$4,514,656",-,100%,"$4,514,656"
90,10 jours encore sans maman,"$4,484,503",-,100%,"$4,484,503"
91,Mari(dos),"$4,464,550",-,100%,"$4,464,550"
92,Nyurnberg,"$4,216,058",-,100%,"$4,216,058"
93,The Book of Wonders,"$4,206,076",-,100%,"$4,206,076"
94,¡Que viva México!,"$4,163,198","$161,222",96.1%,"$4,001,976"
95,Maybe I Do,"$4,082,914","$1,293,722",68.3%,"$2,789,192"
96,Tu Jhoothi Main Makkaar,"$4,035,915","$2,503,604",38%,"$1,532,311"
97,Touken Ranbu 2,"$4,025,574",-,100%,"$4,025,574"
98,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,"$3,952,538","$3,671,221",7.1%,"$281,317"
99,Cats in the Museum,"$3,934,268",-,100%,"$3,934,268"
100,Kutsal Damacana 4,"$3,890,946",-,100%,"$3,890,946"
101,Dream,"$3,890,008",-,100%,"$3,890,008"
102,Besprintsipnyye v derevne,"$3,842,262",-,100%,"$3,842,262"
103,Nemesis the Movie: Mystery of Golden Spiral,"$3,821,231",-,100%,"$3,821,231"
104,Un homme heureux,"$3,791,739",-,100%,"$3,791,739"
105,O chem govoryat muzhchiny. Prostyye udovolstviya,"$3,686,446",-,100%,"$3,686,446"
106,La Syndicaliste,"$3,676,729",-,100%,"$3,676,729"
107,Les choses simples,"$3,662,979",-,100%,"$3,662,979"
108,Left Behind: Rise of the Antichrist,"$3,649,422","$3,649,422",-,-
109,Nefarious,"$3,628,604","$3,628,604",-,-
110,The Journey: A Music Special from Andrea Bocelli,"$3,595,541","$3,574,915",0.6%,"$20,626"
111,Last Night of Amore,"$3,503,276",-,100%,"$3,503,276"
112,Face Off 6: The Ticket of Destiny,"$3,463,936",-,100%,"$3,463,936"
113,A Thousand and One,"$3,426,326","$3,399,135",0.8%,"$27,191"
114,Neposlushnaya,"$3,339,676",-,100%,"$3,339,676"
115,The Communion Girl,"$3,331,181",-,100%,"$3,331,181"
116,Tramite amicizia,"$3,212,885",-,100%,"$3,212,885"
117,Switch,"$3,146,901",-,100%,"$3,146,901"
118,My Beautiful Man ～Eternal～,"$3,105,731",-,100%,"$3,105,731"
119,Chevalier,"$3,037,543","$3,037,543",-,-
120,2023 Oscar Nominated Short Films: Live Action,"$3,025,631","$3,025,631",-,-
121,Count,"$2,829,963",-,100%,"$2,829,963"
122,Two Tickets to Greece,"$2,744,074",-,100%,"$2,744,074"
123,Grazie ragazzi,"$2,722,775",-,100%,"$2,722,775"
124,Yudo: The Way of the Bath,"$2,681,954",-,100%,"$2,681,954"
